Price1,Price2,Price3,Price4,Date
90.8953175428069,93.9614841528459,91.64321610989148,103.9782677563876,2023-03-02
90.88206805849272,93.94627660798491,91.62265587665708,103.95864512631623,2023-03-03
90.91906256791926,93.97898119411383,91.65363366211844,103.99726773589968,2023-03-04
90.89358641091123,93.94832476762286,91.62904162049556,103.98055814317125,2023-03-05
90.8761282474461,93.94364098730624,91.61770769168368,103.95458061542391,2023-03-06
90.93244073282993,93.99254168281358,91.66996234125457,104.01850272087484,2023-03-07
90.8980822503689,93.96464915315282,91.63629490918858,103.969368713912,2023-03-08
90.84943803797107,93.91586162279343,91.59063918171533,103.94071939522898,2023-03-09
90.92339190400071,93.98847682998235,91.66211035429671,104.00192933068142,2023-03-10
90.88012014318515,93.94933301787788,91.62096624894252,103.96312064755564,2023-03-11
90.89586030690799,93.95942905729434,91.6333936669619,103.96795869094197,2023-03-12
90.88089747376749,93.95162285211865,91.6312172266467,103.96871214907401,2023-03-13
90.91659034768823,93.97869620473195,91.65241595449608,103.9958680074907,2023-03-14
90.8939459277524,93.97092806503952,91.6412674751323,103.97416502914092,2023-03-15
90.8867464953936,93.95409526080667,91.62753611727113,103.9574703573496,2023-03-16
90.8989412521234,93.97773551213153,91.65861312434544,103.99009049327132,2023-03-17
90.89711428889946,93.96156306013928,91.63447290916947,103.97364935760416,2023-03-18
90.91758035570588,93.99471501395362,91.6419100909093,103.99561133291095,2023-03-19
90.88647088763402,93.95494389499075,91.62003646633148,103.96553918429605,2023-03-20
90.87676500693425,93.94336629517585,91.62119778202162,103.95704972519798,2023-03-21
90.9071426387746,93.97119436423458,91.64495033593336,103.98563434875382,2023-03-22
90.88040424632098,93.94619437902416,91.6253058418105,103.95615514315075,2023-03-23
90.85793562633161,93.9307960596457,91.60480406457704,103.94197299385512,2023-03-24
90.89699729995174,93.96078910888576,91.63766763369193,103.97385815757849,2023-03-25
90.89676965050101,93.96751123873143,91.62912035136304,103.96415589143325,2023-03-26
90.89227151120467,93.96451346941916,91.63385060884201,103.97253997346465,2023-03-27
90.89136811739615,93.96160054915502,91.63365135849146,103.97083308155803,2023-03-28
90.87556368342271,93.94302991079215,91.61120384313173,103.95250085036997,2023-03-29
90.88815002816563,93.96286237308306,91.63361760008225,103.97426988286216,2023-03-30
90.8692647501943,93.93656531272548,91.60879420544323,103.94663247509945,2023-03-31
90.8860475415868,93.95906134423099,91.62777606052194,103.9585947312423,2023-04-01
90.86321068707196,93.94134690842645,91.60167955580964,103.9507537468647,2023-04-02
90.89819654428717,93.96107424120873,91.63882661590594,103.9710297454856,2023-04-03
90.85518649761846,93.92101458979594,91.6038817767883,103.9395972040231,2023-04-04
90.89322557714672,93.96696401511008,91.6327636769022,103.97498524558942,2023-04-05
90.89620085411377,93.96209081383338,91.63912904173553,103.97586349939462,2023-04-06
90.92015154249361,93.97805031838287,91.658361384008,103.9919499497161,2023-04-07
90.8458557171065,93.92583039724123,91.5900364139247,103.9321147643394,2023-04-08
90.87688589509906,93.94911125404933,91.62556845043991,103.96511232157091,2023-04-09
90.88070034512975,93.95464831424833,91.62482295372655,103.9577578010876,2023-04-10
90.89623600586515,93.96323632209213,91.63948909344846,103.98161190179172,2023-04-11
90.87076826225292,93.94707218622781,91.61585523072708,103.95615922696737,2023-04-12
90.88507708838364,93.9546761328916,91.6316623331628,103.96374864984554,2023-04-13
90.89961463766372,93.96779370385295,91.64061009468386,103.98312402216115,2023-04-14
90.84621552817725,93.91787919275849,91.57820781938447,103.93100367826487,2023-04-15
90.90466425323477,93.96735760878299,91.63762349446453,103.97512247881676,2023-04-16
90.87069898330888,93.94578371937,91.61325229206516,103.955097907642,2023-04-17
90.8631729281862,93.93224731178613,91.60569754217762,103.93969147541414,2023-04-18
90.8928242996145,93.96656201402118,91.63581026390911,103.97426167344135,2023-04-19
90.910528138871,93.96394155739489,91.64881581766711,103.9742338959936,2023-04-20
90.898938995686,93.96996363308834,91.63612031858464,103.97739647665344,2023-04-21
90.89900467560878,93.96795656662802,91.65337701671179,103.98271699908184,2023-04-22
90.84154162011735,93.91555912376344,91.58693257319436,103.9283690046141,2023-04-23
90.86201592188145,93.93346871467473,91.60039825801034,103.92934903604421,2023-04-24
90.90417861535914,93.97342596309545,91.6436321313066,103.98210518966584,2023-04-25
90.89347971369764,93.96259161750184,91.63966035424603,103.97460222650821,2023-04-26
90.83990691759973,93.91054875600713,91.59224592639329,103.92295419470571,2023-04-27
90.87546827850655,93.94943169225631,91.62127185008207,103.9556365830899,2023-04-28
90.91169668556422,93.97495594523274,91.65057933803415,103.98614265411273,2023-04-29
90.89590196531438,93.97151238372831,91.6356286339118,103.98107572153823,2023-04-30
90.90224513694442,93.97375015037662,91.65243693028172,103.98842679684915,2023-05-01
