Asset1,Asset2,Asset3,Date
0.01657631278581411,-0.02002668974007367,0.08207353101009102,2023-04-12
-0.07887489018821874,-0.01617760670318478,0.08329658192912323,2023-04-13
0.05197727911265453,-0.005166730142334375,-0.012972762438056448,2023-04-14
-0.04926659031032973,-0.04639485212388655,-0.14121436016034414,2023-04-15
-0.0024389923473916407,-0.0005105015304161806,0.03673899424286963,2023-04-16
0.07998693059571424,0.0646265706661516,-0.006777296788912778,2023-04-17
-0.006877131510541583,-0.048884456635736734,0.04252810600930788,2023-04-18
0.005057561388931231,0.047661504675166194,0.08741798871691948,2023-04-19
0.035374666609011056,0.05756278420959531,0.10372024608132517,2023-04-20
-0.0845989803879405,-0.07581256277641951,-0.09152693805877106,2023-04-21
-0.10712884892719352,-0.018759673475508977,0.10591198794055043,2023-04-22
-0.02637938650407,0.00988876992295118,0.07630544653318988,2023-04-23
0.07943186612935071,0.0035179165330340278,0.04971759671698005,2023-04-24
0.03941415459074446,0.017694520800380052,-0.004149281143862765,2023-04-25
0.1130973440383893,0.06823478056444131,-0.007371273794070388,2023-04-26
0.1219714266490957,0.0419664547750968,-0.04036174027912288,2023-04-27
-0.05757138790510999,-0.04721238911036392,0.0013936232315048026,2023-04-28
0.021231263612204645,-0.03303534578861626,-0.011263451791099865,2023-04-29
0.0863692801114099,0.06259416491268309,-0.00920257881878102,2023-04-30
-0.014975354491945002,-0.06937594615392913,0.0012801083162788764,2023-05-01
